timestamp,config,model,parallel,prompt_length,max_tokens,requests,time_taken,output_throughput,total_throughput,request_throughput,latency,ttft,token_latency,inter_token_latency,input_tokens,output_tokens,avg_gpu_memory,max_gpu_memory,min_gpu_memory,10p_ttft_,10p_itl_,10p_tpot_,10p_latency_,10p_input_tokens,10p_output_tokens,10p_output_(tok/s),10p_total_(tok/s),25p_ttft_,25p_itl_,25p_tpot_,25p_latency_,25p_input_tokens,25p_output_tokens,25p_output_(tok/s),25p_total_(tok/s),50p_ttft_,50p_itl_,50p_tpot_,50p_latency_,50p_input_tokens,50p_output_tokens,50p_output_(tok/s),50p_total_(tok/s),66p_ttft_,66p_itl_,66p_tpot_,66p_latency_,66p_input_tokens,66p_output_tokens,66p_output_(tok/s),66p_total_(tok/s),75p_ttft_,75p_itl_,75p_tpot_,75p_latency_,75p_input_tokens,75p_output_tokens,75p_output_(tok/s),75p_total_(tok/s),80p_ttft_,80p_itl_,80p_tpot_,80p_latency_,80p_input_tokens,80p_output_tokens,80p_output_(tok/s),80p_total_(tok/s),90p_ttft_,90p_itl_,90p_tpot_,90p_latency_,90p_input_tokens,90p_output_tokens,90p_output_(tok/s),90p_total_(tok/s),95p_ttft_,95p_itl_,95p_tpot_,95p_latency_,95p_input_tokens,95p_output_tokens,95p_output_(tok/s),95p_total_(tok/s),98p_ttft_,98p_itl_,98p_tpot_,98p_latency_,98p_input_tokens,98p_output_tokens,98p_output_(tok/s),98p_total_(tok/s),99p_ttft_,99p_itl_,99p_tpot_,99p_latency_,99p_input_tokens,99p_output_tokens,99p_output_(tok/s),99p_total_(tok/s)
20251130_092648,p128_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,128,short,200,1000,16.4728,4145.9796,4995.8766,60.7069,1.956,1.956,0.0,0.0,14.0,68.295,0,0,0,1.5833,nan,0.0,1.5833,14,61,28.1329,34.0774,1.6978,nan,0.0,1.6978,14,65,32.0949,38.9662,1.8319,nan,0.0,1.8319,14,65,36.3082,44.1404,1.9992,nan,0.0,1.9992,14,72,39.2467,47.3882,2.1028,nan,0.0,2.1028,14,72,39.8645,47.9716,2.2647,nan,0.0,2.2647,14,72,40.1596,48.4275,2.4821,nan,0.0,2.4821,14,72,42.2878,50.5395,2.9751,nan,0.0,2.9751,14,88,43.5388,53.3477,2.9839,nan,0.0,2.9839,14,88,46.198,56.1361,2.9908,nan,0.0,2.9908,14,88,46.6868,56.6782
20251130_084627,p128_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,128,short,200,1000,15.7758,4390.294,5277.7343,63.3886,1.9202,1.9202,0.0,0.0,14.0,69.26,0,0,0,1.6024,nan,0.0,1.6024,14,65,28.2815,34.6213,1.6895,nan,0.0,1.6895,14,65,33.1289,40.7718,1.7991,nan,0.0,1.7991,14,65,37.5751,44.9948,1.9956,nan,0.0,1.9956,14,72,39.3862,47.3061,2.1001,nan,0.0,2.1001,14,72,40.466,48.7184,2.1961,nan,0.0,2.1961,14,72,40.999,49.4136,2.3809,nan,0.0,2.3809,14,75,42.6677,51.0277,2.6733,nan,0.0,2.6733,14,88,44.4895,53.0568,2.6883,nan,0.0,2.6883,14,88,46.414,56.4109,3.1668,nan,0.0,3.1668,14,88,47.7467,57.8448
20251130_072733,p128_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,128,short,200,1000,15.8711,4273.2705,5155.3835,63.0081,1.9215,1.9215,0.0,0.0,14.0,67.821,0,0,0,1.5519,nan,0.0,1.5519,14,61,26.9917,32.2401,1.6409,nan,0.0,1.6409,14,65,32.6949,39.4157,1.869,nan,0.0,1.869,14,65,37.255,45.0944,1.9978,nan,0.0,1.9978,14,68,39.1398,47.3665,2.0953,nan,0.0,2.0953,14,72,40.4157,48.7525,2.201,nan,0.0,2.201,14,72,40.8677,49.4968,2.465,nan,0.0,2.465,14,75,42.696,51.4098,2.6957,nan,0.0,2.6957,14,79,44.6191,53.7715,2.8687,nan,0.0,2.8687,14,88,46.6649,56.2671,2.8732,nan,0.0,2.8732,14,88,49.334,58.5106
20251130_092408,p16_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,16,short,200,1000,72.105,950.2485,1145.5748,13.9519,1.1434,1.1434,0.0,0.0,14.0,68.109,0,0,0,0.9871,nan,0.0,0.9871,14,65,51.7479,62.1117,1.0355,nan,0.0,1.0355,14,65,56.8082,68.3721,1.1069,nan,0.0,1.1069,14,65,60.1893,72.8112,1.192,nan,0.0,1.192,14,72,62.8111,75.8538,1.2017,nan,0.0,1.2017,14,72,64.1672,77.5926,1.2529,nan,0.0,1.2529,14,72,65.0521,78.2153,1.307,nan,0.0,1.307,14,72,66.6373,80.4491,1.403,nan,0.0,1.403,14,78,68.4747,82.4217,1.5006,nan,0.0,1.5006,14,88,71.4952,86.7272,1.6051,nan,0.0,1.6051,14,88,71.759,87.2148
20251130_084349,p16_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,16,short,200,1000,71.2387,953.0905,1149.6475,14.0398,1.1333,1.1333,0.0,0.0,14.0,67.885,0,0,0,0.9939,nan,0.0,0.9939,14,65,54.1185,64.8938,1.039,nan,0.0,1.039,14,65,57.0134,68.557,1.1033,nan,0.0,1.1033,14,65,60.5747,72.9497,1.1801,nan,0.0,1.1801,14,72,62.9322,75.6054,1.2,nan,0.0,1.2,14,72,64.2005,77.6211,1.2032,nan,0.0,1.2032,14,72,64.9811,78.2103,1.301,nan,0.0,1.301,14,72,66.0133,79.5108,1.3961,nan,0.0,1.3961,14,80,68.1969,82.7367,1.4993,nan,0.0,1.4993,14,88,70.8475,85.6373,1.5878,nan,0.0,1.5878,14,88,71.5401,86.9487
20251130_072455,p16_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,16,short,200,1000,70.6949,953.6482,1151.6825,14.1453,1.1215,1.1215,0.0,0.0,14.0,67.418,0,0,0,0.9889,nan,0.0,0.9889,14,61,54.2714,65.8825,1.0347,nan,0.0,1.0347,14,65,58.0417,70.0712,1.0994,nan,0.0,1.0994,14,65,60.7078,73.478,1.146,nan,0.0,1.146,14,67,62.228,75.3155,1.1886,nan,0.0,1.1886,14,72,63.3267,76.5523,1.2043,nan,0.0,1.2043,14,72,63.9779,77.3843,1.2917,nan,0.0,1.2917,14,72,65.5845,79.1413,1.3838,nan,0.0,1.3838,14,78,67.0083,80.9363,1.4932,nan,0.0,1.4932,14,88,69.3435,83.6028,1.5216,nan,0.0,1.5216,14,88,70.5306,85.7215
20251130_085639,p1_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,1,short,200,1000,830.7765,78.3322,95.2038,1.2051,0.8306,0.8306,0.0,0.0,14.0,65.0,0,0,0,0.7798,nan,0.0,0.7798,14,65,67.5876,82.1449,0.781,nan,0.0,0.781,14,65,76.4153,92.874,0.7836,nan,0.0,0.7836,14,65,82.9547,100.8219,0.7999,nan,0.0,0.7999,14,65,83.1534,101.0633,0.8514,nan,0.0,0.8514,14,65,83.2311,101.1579,0.8802,nan,0.0,0.8802,14,65,83.2722,101.2077,0.9642,nan,0.0,0.9642,14,65,83.3527,101.3056,1.0308,nan,0.0,1.0308,14,65,83.4217,101.3895,1.0691,nan,0.0,1.0691,14,65,83.4787,101.4587,1.1314,nan,0.0,1.1314,14,65,83.5071,101.4933
20251130_081627,p1_n1000_dp_medium,Qwen3-VL-235B-A22B-Instruct,1,short,200,1000,828.3595,78.5424,95.4592,1.2083,0.8282,0.8282,0.0,0.0,14.0,65.0,0,0,0,0.7799,nan,0.0,0.7799,14,65,69.1335,84.0238,0.7811,nan,0.0,0.7811,14,65,77.3606,94.0229,0.7843,nan,0.0,0.7843,14,65,82.8769,100.7273,0.8178,nan,0.0,0.8178,14,65,83.1055,101.0051,0.8403,nan,0.0,0.8403,14,65,83.2136,101.1365,0.8804,nan,0.0,0.8804,14,65,83.2521,101.1833,0.9413,nan,0.0,0.9413,14,65,83.3429,101.2937,1.0207,nan,0.0,1.0207,14,65,83.4067,101.3712,1.0382,nan,0.0,1.0382,14,65,83.4773,101.457,1.0594,nan,0.0,1.0594,14,65,83.5021,101.4871
20251130_065753,p1_n1000_dp_short,Qwen3-VL-235B-A22B-Instruct,1,short,200,1000,820.1315,79.3318,96.4187,1.2205,0.82,0.82,0.0,0.0,14.0,65.0,0,0,0,0.7804,nan,0.0,0.7804,14,65,70.6781,85.901,0.7817,nan,0.0,0.7817,14,65,79.1848,96.24,0.7846,nan,0.0,0.7846,14,65,82.8433,100.6864,0.8006,nan,0.0,0.8006,14,65,83.0393,100.9247,0.8209,nan,0.0,0.8209,14,65,83.1548,101.065,0.8464,nan,0.0,0.8464,14,65,83.1935,101.1121,0.9199,nan,0.0,0.9199,14,65,83.2896,101.229,0.9675,nan,0.0,0.9675,14,65,83.3381,101.2878,1.0209,nan,0.0,1.0209,14,65,83.3999,101.363,1.0473,nan,0.0,1.0473,14,65,83.4161,101.3827
20251130_092706,p256_n1000_dp_long,Qwen3-VL-235B-A22B-Instruct,256,short,200,1000,13.3388,5181.853,6231.4333,74.97,3.0695,3.0695,0.0,0.0,14.0,69.119,0,0,0,2.2858,nan,0.0,2.2858,14,65,17.4689,21.2137,2.704,nan,0.0,2.704,14,65,19.8779,23.9122,2.9429,nan,0.0,2.9429,14,65,23.215,28.1893,3.2566,nan,0.0,3.2566,14,72,24.4812,29.2634,3.5995,nan,0.0,3.5995,14,72,25.0602,30.3615,3.6433,nan,0.0,3.6433,14,72,25.7798,30.9779,3.8323,nan,0.0,3.8323,14,75,29.2062,35.3873,4.1355,nan,0.0,4.1355,14,88,31.136,37.046,4.3356,nan,0.0,4.3356,14,88,31.892,40.0623,4.5866,nan,0.0,4.5866,14,88,32.0051,40.3164
